id_receita,id_empresa,id_cliente,categoria,valor,data,descricao
1,6,107,Serviço,84587.43,2025-04-03,Ab quo dolorum iusto fugiat facilis tempora.
2,6,172,Consultoria,71949.15,2024-11-08,Autem ipsa saepe cum explicabo.
3,6,192,Consultoria,12288.31,2024-09-29,Facere sit dicta.
4,4,101,Licenciamento,36158.76,2024-06-26,Aliquam hic quia tempore cum.
5,5,171,Licenciamento,70507.51,2024-06-30,Vero voluptatem blanditiis laudantium libero placeat consectetur.
6,1,122,Consultoria,14904.47,2025-01-30,Magnam unde sapiente harum autem autem.
7,7,114,Licenciamento,61474.32,2024-04-22,Culpa magnam quisquam dolores.
8,4,116,Consultoria,22343.36,2025-01-02,Inventore nisi ab laboriosam eligendi assumenda.
9,4,192,Licenciamento,11668.81,2024-09-27,Nulla quas deleniti eligendi beatae.
10,7,106,Venda Produto,77442.37,2024-07-25,Pariatur inventore labore quos aut.
11,8,159,Serviço,96421.62,2025-01-22,Nostrum deleniti sequi occaecati corrupti blanditiis illo.
12,1,168,Venda Produto,55769.41,2024-07-29,Ut incidunt nulla at amet.
13,7,175,Consultoria,92512.72,2024-09-19,Esse odio doloremque excepturi laboriosam magni officia.
14,3,189,Serviço,73318.97,2024-08-10,Earum eligendi expedita in.
15,3,114,Consultoria,66094.66,2024-08-16,Delectus a optio.
16,10,142,Consultoria,42447.81,2024-08-16,Eligendi eius non inventore dolorum.
17,10,189,Serviço,28085.99,2024-10-21,Ex beatae pariatur placeat quo consectetur.
18,6,138,Consultoria,80674.89,2024-09-01,Quia nihil non dolores eius nesciunt.
19,3,153,Licenciamento,84464.37,2024-05-17,Consectetur quia blanditiis nesciunt.
20,9,141,Serviço,20888.02,2025-04-03,Deserunt ipsum atque velit nulla.
21,10,192,Licenciamento,68974.52,2024-08-09,Voluptatibus dicta quam aliquam deleniti mollitia dolorum.
22,3,191,Serviço,50885.45,2025-03-20,Voluptate tempora ipsum quaerat tenetur architecto in.
23,6,191,Venda Produto,76316.73,2025-04-10,Ratione cumque earum voluptas enim veritatis aperiam.
24,9,162,Consultoria,67750.11,2025-01-08,Qui id placeat sit voluptas.
25,9,137,Consultoria,81022.17,2024-06-17,Quibusdam fugit quod id earum delectus.
26,9,114,Venda Produto,38706.16,2024-06-15,Dolor possimus sunt ratione iste provident minima.
27,1,186,Venda Produto,20790.34,2024-08-09,Eos eaque blanditiis dolore modi.
28,3,137,Licenciamento,15496.41,2024-08-05,Odit velit eius.
29,1,189,Licenciamento,21196.09,2024-06-04,Sit amet voluptatem voluptatibus distinctio.
30,9,105,Licenciamento,81588.6,2024-05-29,Officiis odio voluptas.
31,2,179,Serviço,74498.86,2024-08-18,Veniam sunt eaque consequatur.
32,9,150,Serviço,51581.31,2025-03-28,Eos voluptates numquam ab explicabo quas eius ducimus.
33,5,189,Venda Produto,92722.0,2024-04-20,Omnis sint vel nesciunt quam porro veniam.
34,7,154,Licenciamento,96617.49,2024-07-22,Odio mollitia repellendus dolore eaque neque repellat quidem.
35,1,102,Licenciamento,21105.64,2024-06-13,Doloremque quas fuga temporibus atque delectus delectus.
